City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Vila,PT,42.0304,-8.1588,89.71,25,0,4.18,clear sky
112,Skaerbaek,DK,55.1573,8.769,59.9,71,87,22.44,overcast clouds
113,Anadyr,RU,64.75,177.4833,54.1,87,40,13.42,scattered clouds
114,Caravelas,BR,-17.7125,-39.2481,77.31,61,2,8.48,clear sky
115,Clyde River,CA,70.4692,-68.5914,43.03,81,0,8.05,clear sky
116,Ankang,CN,32.68,109.0172,80.42,69,26,2.01,scattered clouds
117,Talcahuano,CL,-36.7167,-73.1167,51.48,93,100,14.97,overcast clouds
118,Bubaque,GW,11.2833,-15.8333,81.43,80,71,10.36,broken clouds
119,Bowen,AU,-20.0167,148.2333,56.79,79,0,8.01,clear sky
120,Edd,ER,13.9297,41.6925,90.66,54,100,1.66,overcast clouds
121,Bealanana,MG,-14.55,48.7333,54.19,90,11,8.95,few clouds
122,Nabire,ID,-3.3667,135.4833,75.76,91,100,3.13,moderate rain
123,Shingu,JP,33.7333,135.9833,74.3,94,67,3.11,broken clouds
124,Kapaa,US,22.0752,-159.319,78.78,87,40,12.66,scattered clouds
125,Kaitangata,NZ,-46.2817,169.8464,33.57,86,55,4.45,broken clouds
126,Curaca,BR,-8.9903,-39.9094,87.66,31,11,19.39,few clouds
127,Aswan,EG,24.0934,32.907,81.7,74,0,6.91,clear sky
128,Nara,JP,34.6851,135.8049,77.5,86,61,1.95,broken clouds
129,Comandau,RO,45.7667,26.2667,54.3,70,100,3.83,overcast clouds
130,Mezen,RU,65.8522,44.24,59.97,66,77,1.16,broken clouds
131,Faanui,PF,-16.4833,-151.75,77.76,77,81,21.47,light rain
132,Zhigansk,RU,66.7697,123.3711,47.64,84,67,7.9,broken clouds
133,Palmer,US,42.1584,-72.3287,81.86,35,20,5.75,few clouds
134,Provideniya,RU,64.3833,-173.3,48.33,93,100,6.98,overcast clouds
135,Ponta Do Sol,PT,32.6667,-17.1,82.13,54,4,2.77,clear sky
136,Alofi,NU,-19.0595,-169.9187,73.29,88,56,10.36,broken clouds
137,Chilca,PE,-12.5211,-76.7372,64.78,75,80,8.16,broken clouds
138,Ostrovnoy,RU,68.0531,39.5131,47.23,90,88,5.7,overcast clouds
139,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.65,36,51,5.88,broken clouds
140,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,53,18.32,broken clouds
141,Hailar,CN,49.2,119.7,55.11,83,100,8.63,overcast clouds
142,Osorno,CL,-40.5667,-73.15,47.25,93,100,5.75,moderate rain
143,Geraldton,AU,-28.7667,114.6,64.81,88,100,12.66,overcast clouds
144,Carbonia,IT,39.1672,8.5222,85.15,53,0,6.35,clear sky
145,Carnarvon,AU,-24.8667,113.6333,70.63,69,8,9.73,clear sky
146,Ormara,PK,25.2088,64.6357,82.96,86,81,8.61,broken clouds
147,Yumen,CN,40.2833,97.2,76.62,16,0,2.19,clear sky
148,Georgetown,MY,5.4112,100.3354,84.88,78,20,0.0,few clouds
149,Luganville,VU,-15.5333,167.1667,76.75,85,12,6.53,few clouds
150,Asau,RO,46.4333,26.4,72.52,69,85,4.97,overcast clouds
151,Pundaguitan,PH,6.3711,126.1689,81.75,76,99,6.91,overcast clouds
152,Lorengau,PG,-2.0226,147.2712,81.7,75,100,11.23,overcast clouds
153,Seoul,KR,37.5683,126.9778,76.6,91,20,2.3,few clouds
154,Provost,CA,52.3501,-110.2683,72.05,59,10,4.94,clear sky
155,Leh,IN,34.1667,77.5833,62.6,56,65,4.63,broken clouds
156,Talnakh,RU,69.4865,88.3972,51.21,93,100,9.95,overcast clouds
157,Saskylakh,RU,71.9167,114.0833,50.4,72,100,7.99,overcast clouds
158,Chokurdakh,RU,70.6333,147.9167,46.42,56,100,2.84,overcast clouds
159,Quatre Cocos,MU,-20.2078,57.7625,69.1,60,92,21.65,overcast clouds
160,Salinopolis,BR,-0.6136,-47.3561,82.53,73,9,10.54,clear sky
161,Karratha,AU,-20.7377,116.8463,62.64,47,4,4.9,clear sky
162,Pevek,RU,69.7008,170.3133,32.56,97,100,10.29,light snow
163,Mumford,GH,5.2618,-0.759,76.84,85,99,11.83,light rain
164,Mildura,AU,-34.2,142.15,37.08,92,0,8.43,clear sky
165,Vallenar,CL,-28.5708,-70.7581,61.45,51,0,7.63,clear sky
166,Raudeberg,NO,61.9875,5.1352,50.67,84,100,16.42,overcast clouds
167,Vizinga,RU,61.0749,50.1031,64.8,66,91,4.03,overcast clouds
168,Tocopilla,CL,-22.092,-70.1979,66.36,66,67,5.99,broken clouds
169,Bathsheba,BB,13.2167,-59.5167,88.41,83,40,23.02,scattered clouds
170,Berdigestyakh,RU,62.0989,126.6992,58.96,66,100,3.8,overcast clouds
171,Sola,VU,-13.8833,167.55,79.5,81,39,16.73,scattered clouds
172,Wajid,SO,3.8093,43.2471,75.9,59,86,21.3,overcast clouds
173,Qaanaaq,GL,77.484,-69.3632,43.09,77,99,1.36,overcast clouds
174,Mackenzie,CA,55.2999,-123.1698,61.02,63,75,5.75,broken clouds
175,San Carlos De Bariloche,AR,-41.1456,-71.3082,41.25,75,75,4.61,moderate rain
176,Najran,SA,17.4924,44.1277,90.25,24,100,1.32,overcast clouds
177,Verkhnevilyuysk,RU,63.4453,120.3167,59.13,90,100,2.89,overcast clouds
178,Torbay,CA,47.6666,-52.7314,67.28,82,75,13.8,broken clouds
179,Saint George,US,37.1041,-113.5841,100.63,13,0,6.91,clear sky
180,Sinnamary,GF,5.3833,-52.95,80.19,81,93,13.24,overcast clouds
181,Mandalgovi,MN,45.7625,106.2708,62.42,53,53,9.91,broken clouds
182,Klaksvik,FO,62.2266,-6.589,50.92,99,100,11.95,overcast clouds
183,Labuan,MY,5.2767,115.2417,75.56,88,20,2.3,few clouds
184,Beringovskiy,RU,63.05,179.3167,49.6,89,98,15.08,overcast clouds
185,Tashtyp,RU,52.7939,89.8983,53.69,89,43,1.74,scattered clouds
186,Xinqing,CN,48.2333,129.5,58.01,88,86,3.49,overcast clouds
187,San Patricio,US,28.017,-97.5169,96.87,34,8,5.99,clear sky
