City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Ribera,IT,80.6,clear sky,37.4984,13.2642,B&B Le Foglie D'Argento
255,Asuncion,PY,85.89,clear sky,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
256,Sabaudia,IT,82.89,clear sky,41.3003,13.0282,Oasi di Kufra
258,Tianpeng,CN,86.47,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
259,Cabo San Lucas,MX,94.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
260,Caimito,CO,90.36,scattered clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
261,Oeiras,BR,93.72,clear sky,-7.0253,-42.1311,Hotel SESC Oeiras
262,Inirida,CO,81.14,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
267,Dicabisagan,PH,78.82,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
268,Touros,BR,81.09,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
271,Tam Ky,VN,76.96,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
273,Pochutla,MX,92.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
274,Katsuura,JP,75.2,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
275,Shubarkuduk,KZ,72.7,broken clouds,49.1447,56.4872,Sirius
276,Bumba,CD,77.05,overcast clouds,2.1833,22.4667,Père Carlos
277,Erenhot,CN,75.74,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
278,Kumluca,TR,80.65,clear sky,36.3703,30.2869,Akkol Apart
281,Jinchang,CN,76.37,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
285,Sawakin,SD,91.27,overcast clouds,19.1059,37.3321,فندق الدويم
288,Anaco,VE,92.3,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
293,Marsh Harbour,BS,83.97,clear sky,26.5412,-77.0636,Abaco Beach Resort
294,Cordoba,AR,79.23,clear sky,-31.4135,-64.1811,Hotel Sussex
297,Balabac,PH,80.62,light rain,7.9868,117.0645,Batalla’s Lodging House
299,Praia,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
300,Lasa,IT,76.08,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
301,Gat,IL,81.81,clear sky,31.61,34.7642,OlusHome
304,Cadolzburg,DE,72.79,few clouds,49.4573,10.8533,Gasthof Landhotel Grüner Baum
305,Laguna,US,83.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
306,Victoria,HK,87.19,clear sky,22.2855,114.1577,Mini Central
308,Karaton,ID,72.57,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
311,Nador,MA,82.47,clear sky,35.174,-2.9287,Hôtel La Giralda
